,,wall_time_ms,wall_time_ms,wall_time_ms,wall_time_ms,peak_rss_mb,peak_rss_mb,energy_estimate_joules,run
,,mean,std,min,max,mean,std,mean,count
function,zkp_type,,,,,,,,
ProofGen,Bulletproof,8.039,5.4525,2.97,22.393,14.6594,0.0381,0.9917,30
ProofGen,SNARK,165.1655,30.5438,119.091,236.341,15.2552,0.2136,9.9788,30
ProofGen,STARK,100.0497,40.4165,31.281,170.998,16.2258,0.0302,26.6896,30
ProofVerify,Bulletproof,7.5358,5.7581,2.513,21.669,14.6719,0.0,1.3058,30
ProofVerify,SNARK,28.1912,12.7465,8.703,50.934,15.7594,0.0814,17.1663,30
ProofVerify,STARK,9.1369,4.3684,2.218,16.489,16.2422,0.0,33.5438,30
